agent_id,team,hire_date,employment_type,monthly_call_target,training_completed_yn,qa_score,overtime_hours_avg,agent_satisfaction,turnover_yn
AG16,3팀,2024-06-01,정규직,90,False,3.9,8,2,True
AG09,1팀,2024-03-01,정규직,68,False,3.6,9,3,True
AG20,2팀,2024-01-05,정규직,69,False,3.3,11,4,True
AG07,3팀,2023-09-01,계약직,60,False,3.3,20,6,False
AG14,1팀,2023-05-19,계약직,62,False,4.2,10,7,False
AG19,3팀,2023-02-14,계약직,63,False,3.5,22,7,False
AG03,2팀,2023-01-15,계약직,65,False,4.0,26,8,False
AG12,2팀,2021-01-20,정규직,79,True,3.1,15,3,False
AG01,1팀,2022-05-10,정규직,75,True,3.9,9,4,False
AG05,3팀,2022-02-01,정규직,70,True,3.2,19,5,False
AG17,1팀,2021-08-08,정규직,77,True,4.0,8,5,False
AG02,1팀,2021-11-02,정규직,80,True,3.0,28,6,False
AG10,3팀,2020-04-10,정규직,76,True,4.0,9,6,False
AG13,3팀,2022-10-11,정규직,71,True,3.4,18,6,False
AG06,1팀,2021-06-15,정규직,82,True,4.1,10,7,False
AG08,2팀,2019-12-01,정규직,85,True,4.3,6,7,False
AG04,2팀,2020-08-20,정규직,78,True,4.1,16,8,False
AG15,2팀,2020-12-01,정규직,84,True,4.4,7,8,False
AG11,1팀,2019-03-05,정규직,74,True,4.6,4,9,False
AG18,2팀,2022-07-07,정규직,73,True,4.2,12,9,False
