월,소속,상담원,상담일,고객ID,채널,문의유형,상담시간,처리결과,재문의여부
2025-01,1팀,AG17,2025-01-15,C365,전화,장애신고,16,완료,False
2025-01,1팀,AG02,2025-01-21,C007,채팅,해지문의,23,완료,False
2025-01,1팀,AG14,2025-01-06,C322,이메일,부가서비스,33,미해결,False
2025-01,1팀,AG02,2025-01-16,C061,전화,요금문의,16,재문의,True
2025-01,1팀,AG09,2025-01-17,C010,전화,요금문의,23,미해결,False
2025-01,1팀,AG17,2025-01-28,C464,채팅,장애신고,17,미해결,True
2025-01,1팀,AG02,2025-01-01,C189,채팅,요금문의,28,완료,False
2025-01,1팀,AG09,2025-01-17,C492,전화,기타,27,미해결,False
2025-01,1팀,AG09,2025-01-10,C434,전화,요금문의,17,미해결,False
2025-01,1팀,AG01,2025-01-25,C448,앱,부가서비스,33,미해결,True
2025-01,1팀,AG11,2025-01-09,C368,이메일,해지문의,20,재문의,True
2025-01,1팀,AG17,2025-01-24,C153,전화,요금문의,11,완료,False
2025-01,1팀,AG02,2025-01-26,C123,앱,해지문의,32,미해결,False
2025-01,1팀,AG14,2025-01-01,C378,앱,장애신고,12,완료,False
2025-01,1팀,AG17,2025-01-09,C310,앱,해지문의,10,재문의,False
2025-01,1팀,AG06,2025-01-27,C441,앱,요금문의,33,완료,False
2025-01,1팀,AG01,2025-01-01,C308,이메일,요금문의,15,미해결,True
2025-01,1팀,AG09,2025-01-09,C326,전화,해지문의,31,미해결,False
2025-01,1팀,AG14,2025-01-05,C198,채팅,요금문의,30,완료,False
2025-01,1팀,AG01,2025-01-21,C298,앱,요금문의,37,완료,False
2025-01,1팀,AG09,2025-01-05,C198,전화,장애신고,26,완료,False
2025-01,1팀,AG14,2025-01-26,C483,전화,장애신고,14,미해결,False
2025-01,1팀,AG09,2025-01-31,C140,전화,해지문의,30,완료,False
2025-01,1팀,AG09,2025-01-09,C471,앱,부가서비스,12,재문의,True
2025-01,1팀,AG06,2025-01-09,C078,전화,해지문의,17,완료,False
2025-01,1팀,AG01,2025-01-29,C430,전화,해지문의,18,재문의,False
2025-01,1팀,AG11,2025-01-24,C274,채팅,해지문의,31,미해결,False
2025-01,1팀,AG09,2025-01-15,C182,앱,명의변경,20,완료,False
2025-01,1팀,AG17,2025-01-21,C455,이메일,요금문의,23,완료,False
2025-01,1팀,AG01,2025-01-09,C205,채팅,요금문의,13,미해결,True
2025-01,1팀,AG01,2025-01-26,C097,전화,요금문의,8,미해결,False
2025-01,1팀,AG17,2025-01-22,C007,채팅,해지문의,21,재문의,False
2025-01,1팀,AG01,2025-01-03,C333,전화,요금문의,9,완료,False
2025-01,1팀,AG06,2025-01-08,C468,전화,장애신고,31,완료,False
2025-01,1팀,AG01,2025-01-16,C070,앱,부가서비스,20,재문의,False
2025-01,1팀,AG17,2025-01-11,C268,채팅,해지문의,18,미해결,False
2025-01,2팀,AG18,2025-01-20,C028,채팅,부가서비스,11,미해결,False
2025-01,2팀,AG08,2025-01-01,C211,이메일,해지문의,21,완료,False
2025-01,2팀,AG18,2025-01-19,C190,채팅,명의변경,19,완료,False
2025-01,2팀,AG03,2025-01-19,C177,전화,명의변경,31,완료,True
2025-01,2팀,AG08,2025-01-25,C329,채팅,부가서비스,24,완료,False
2025-01,2팀,AG18,2025-01-28,C233,앱,요금문의,33,완료,False
2025-01,2팀,AG12,2025-01-30,C323,채팅,요금문의,7,미해결,False
2025-01,2팀,AG18,2025-01-30,C186,전화,기타,23,재문의,False
2025-01,2팀,AG03,2025-01-12,C447,전화,해지문의,33,재문의,True
2025-01,2팀,AG03,2025-01-02,C405,채팅,해지문의,32,재문의,True
2025-01,2팀,AG20,2025-01-29,C232,전화,해지문의,34,재문의,True
2025-01,2팀,AG03,2025-01-31,C426,채팅,요금문의,31,미해결,False
2025-01,2팀,AG15,2025-01-13,C340,채팅,해지문의,22,재문의,False
2025-01,2팀,AG15,2025-01-06,C469,채팅,요금문의,22,완료,False
2025-01,2팀,AG04,2025-01-19,C174,채팅,장애신고,7,완료,False
2025-01,2팀,AG03,2025-01-04,C452,채팅,요금문의,37,완료,False
2025-01,2팀,AG12,2025-01-25,C218,이메일,장애신고,14,미해결,False
2025-01,2팀,AG08,2025-01-08,C162,채팅,장애신고,36,미해결,False
2025-01,2팀,AG18,2025-01-17,C240,전화,요금문의,15,완료,False
2025-01,2팀,AG18,2025-01-26,C324,채팅,요금문의,34,재문의,True
2025-01,2팀,AG20,2025-01-31,C231,이메일,부가서비스,30,미해결,True
2025-01,2팀,AG12,2025-01-01,C483,채팅,해지문의,36,완료,False
2025-01,2팀,AG20,2025-01-30,C031,전화,요금문의,11,재문의,False
2025-01,2팀,AG15,2025-01-17,C036,이메일,해지문의,7,재문의,True
2025-01,2팀,AG12,2025-01-14,C166,채팅,요금문의,12,재문의,False
2025-01,2팀,AG18,2025-01-05,C001,앱,부가서비스,20,완료,False
2025-01,2팀,AG12,2025-01-28,C016,이메일,해지문의,7,재문의,False
2025-01,2팀,AG12,2025-01-27,C035,채팅,요금문의,29,완료,False
2025-01,2팀,AG12,2025-01-17,C337,전화,장애신고,20,미해결,False
2025-01,2팀,AG12,2025-01-05,C341,전화,요금문의,17,미해결,False
2025-01,2팀,AG15,2025-01-26,C097,채팅,해지문의,8,완료,False
2025-01,2팀,AG03,2025-01-10,C127,채팅,부가서비스,28,완료,False
2025-01,2팀,AG15,2025-01-16,C064,이메일,명의변경,22,미해결,False
2025-01,2팀,AG15,2025-01-19,C364,채팅,부가서비스,9,미해결,True
2025-01,2팀,AG04,2025-01-04,C185,채팅,장애신고,33,재문의,True
2025-01,2팀,AG08,2025-01-29,C391,채팅,해지문의,32,재문의,True
2025-01,3팀,AG16,2025-01-20,C421,이메일,요금문의,32,미해결,False
2025-01,3팀,AG19,2025-01-17,C309,채팅,부가서비스,18,완료,False
2025-01,3팀,AG16,2025-01-25,C485,채팅,해지문의,27,완료,False
2025-01,3팀,AG07,2025-01-22,C417,이메일,부가서비스,13,재문의,True
2025-01,3팀,AG10,2025-01-15,C216,전화,해지문의,17,완료,False
2025-01,3팀,AG16,2025-01-23,C190,채팅,기타,14,완료,False
2025-01,3팀,AG16,2025-01-15,C009,이메일,해지문의,19,완료,False
2025-01,3팀,AG16,2025-01-27,C375,이메일,장애신고,21,미해결,True
2025-01,3팀,AG07,2025-01-23,C391,전화,해지문의,17,미해결,False
2025-01,3팀,AG19,2025-01-28,C230,채팅,명의변경,35,완료,False
2025-01,3팀,AG16,2025-01-09,C304,이메일,해지문의,35,재문의,True
2025-01,3팀,AG19,2025-01-25,C397,앱,부가서비스,31,완료,False
2025-01,3팀,AG16,2025-01-05,C025,채팅,기타,36,완료,False
2025-01,3팀,AG13,2025-01-06,C048,전화,장애신고,18,미해결,False
2025-01,3팀,AG13,2025-01-02,C414,전화,명의변경,17,완료,False
2025-01,3팀,AG07,2025-01-30,C274,전화,요금문의,21,완료,False
2025-01,3팀,AG13,2025-01-10,C052,이메일,요금문의,22,재문의,True
2025-01,3팀,AG10,2025-01-01,C436,채팅,요금문의,29,미해결,False
2025-01,3팀,AG07,2025-01-13,C475,이메일,기타,20,완료,False
2025-01,3팀,AG05,2025-01-27,C229,전화,해지문의,37,완료,False
2025-01,3팀,AG16,2025-01-27,C259,채팅,요금문의,29,재문의,False
2025-01,3팀,AG10,2025-01-22,C384,채팅,장애신고,33,재문의,True
2025-01,3팀,AG13,2025-01-13,C172,채팅,부가서비스,7,완료,False
2025-01,3팀,AG19,2025-01-24,C064,이메일,장애신고,10,미해결,False
2025-01,3팀,AG13,2025-01-09,C128,전화,기타,20,재문의,False
2025-01,3팀,AG10,2025-01-23,C363,채팅,기타,23,완료,False
2025-01,3팀,AG10,2025-01-31,C245,채팅,장애신고,16,미해결,False
2025-01,3팀,AG13,2025-01-03,C282,이메일,요금문의,30,재문의,True
2025-01,3팀,AG19,2025-01-04,C008,전화,장애신고,19,미해결,False
2025-01,3팀,AG07,2025-01-30,C489,전화,장애신고,14,완료,False
2025-01,3팀,AG07,2025-01-02,C099,채팅,부가서비스,25,완료,False
2025-01,3팀,AG13,2025-01-29,C322,이메일,장애신고,30,재문의,True
2025-01,3팀,AG13,2025-01-09,C219,이메일,기타,9,재문의,True
2025-01,3팀,AG10,2025-01-04,C299,채팅,요금문의,37,완료,False
2025-01,3팀,AG16,2025-01-30,C009,전화,해지문의,33,완료,False
2025-01,3팀,AG16,2025-01-10,C329,앱,해지문의,11,미해결,False
2025-02,1팀,AG09,2025-02-13,C262,채팅,장애신고,30,재문의,True
2025-02,1팀,AG17,2025-02-12,C278,이메일,기타,28,완료,False
2025-02,1팀,AG09,2025-02-17,C198,전화,해지문의,15,미해결,False
2025-02,1팀,AG06,2025-02-11,C280,전화,부가서비스,7,미해결,False
2025-02,1팀,AG01,2025-02-23,C418,채팅,해지문의,35,완료,False
2025-02,1팀,AG11,2025-02-16,C154,앱,장애신고,28,완료,False
2025-02,1팀,AG09,2025-02-15,C096,전화,기타,33,완료,False
2025-02,1팀,AG01,2025-02-09,C003,채팅,해지문의,31,완료,False
2025-02,1팀,AG17,2025-02-17,C198,채팅,장애신고,30,재문의,True
2025-02,1팀,AG17,2025-02-27,C261,채팅,해지문의,12,완료,False
2025-02,1팀,AG11,2025-02-13,C187,전화,해지문의,14,완료,False
2025-02,1팀,AG02,2025-02-19,C416,이메일,장애신고,11,재문의,True
2025-02,1팀,AG06,2025-02-08,C232,전화,명의변경,37,미해결,False
2025-02,1팀,AG02,2025-02-10,C386,채팅,해지문의,7,완료,False
2025-02,1팀,AG01,2025-02-25,C273,이메일,해지문의,8,미해결,False
2025-02,1팀,AG06,2025-02-26,C275,이메일,부가서비스,27,미해결,False
2025-02,1팀,AG14,2025-02-25,C353,전화,해지문의,8,재문의,False
2025-02,1팀,AG09,2025-02-11,C161,채팅,부가서비스,24,완료,False
2025-02,1팀,AG01,2025-02-09,C321,채팅,요금문의,29,완료,False
2025-02,1팀,AG14,2025-02-01,C332,앱,요금문의,15,완료,False
2025-02,1팀,AG09,2025-02-20,C375,채팅,부가서비스,37,완료,False
2025-02,1팀,AG09,2025-02-07,C346,채팅,부가서비스,20,완료,False
2025-02,1팀,AG01,2025-02-26,C139,앱,요금문의,25,미해결,False
2025-02,1팀,AG02,2025-02-14,C032,앱,명의변경,34,미해결,False
2025-02,1팀,AG11,2025-02-13,C112,이메일,장애신고,9,미해결,True
2025-02,1팀,AG14,2025-02-02,C442,전화,장애신고,37,재문의,True
2025-02,1팀,AG11,2025-02-01,C438,이메일,기타,14,완료,False
2025-02,1팀,AG01,2025-02-24,C387,전화,요금문의,16,완료,False
2025-02,1팀,AG06,2025-02-04,C345,전화,요금문의,26,미해결,False
2025-02,1팀,AG11,2025-02-04,C493,전화,요금문의,22,완료,False
2025-02,1팀,AG06,2025-02-01,C025,전화,명의변경,23,완료,False
2025-02,1팀,AG14,2025-02-26,C203,전화,요금문의,9,완료,False
2025-02,1팀,AG09,2025-02-25,C439,전화,요금문의,23,완료,False
2025-02,1팀,AG02,2025-02-02,C114,전화,장애신고,29,미해결,True
2025-02,2팀,AG03,2025-02-11,C348,이메일,해지문의,34,완료,False
2025-02,2팀,AG15,2025-02-10,C012,전화,장애신고,18,완료,False
2025-02,2팀,AG12,2025-02-15,C477,채팅,요금문의,12,재문의,True
2025-02,2팀,AG15,2025-02-03,C459,전화,요금문의,9,완료,False
2025-02,2팀,AG08,2025-02-20,C379,이메일,해지문의,24,완료,False
2025-02,2팀,AG08,2025-02-03,C050,전화,명의변경,13,완료,False
2025-02,2팀,AG04,2025-02-18,C428,채팅,요금문의,35,완료,False
2025-02,2팀,AG15,2025-02-03,C313,전화,장애신고,22,미해결,True
2025-02,2팀,AG20,2025-02-28,C147,이메일,장애신고,20,완료,False
2025-02,2팀,AG08,2025-02-28,C071,전화,명의변경,29,완료,False
2025-02,2팀,AG04,2025-02-26,C497,전화,부가서비스,25,완료,False
2025-02,2팀,AG12,2025-02-17,C185,채팅,부가서비스,8,미해결,False
2025-02,2팀,AG03,2025-02-05,C021,채팅,장애신고,19,완료,False
2025-02,2팀,AG18,2025-02-18,C405,채팅,요금문의,37,완료,False
2025-02,2팀,AG04,2025-02-07,C425,전화,요금문의,19,완료,False
2025-02,2팀,AG04,2025-02-10,C357,채팅,요금문의,9,완료,False
2025-02,2팀,AG04,2025-02-18,C149,채팅,해지문의,13,완료,False
2025-02,2팀,AG15,2025-02-24,C339,전화,해지문의,14,완료,False
2025-02,2팀,AG08,2025-02-18,C214,전화,장애신고,16,미해결,True
2025-02,2팀,AG20,2025-02-24,C473,채팅,기타,9,완료,False
2025-02,2팀,AG12,2025-02-26,C106,전화,명의변경,26,완료,False
2025-02,2팀,AG18,2025-02-19,C170,앱,장애신고,36,완료,False
2025-02,2팀,AG18,2025-02-06,C139,전화,부가서비스,25,미해결,False
2025-02,2팀,AG20,2025-02-01,C371,이메일,해지문의,13,미해결,True
2025-02,2팀,AG18,2025-02-16,C107,이메일,명의변경,27,완료,False
2025-02,2팀,AG15,2025-02-16,C477,전화,장애신고,21,완료,False
2025-02,2팀,AG08,2025-02-01,C342,앱,요금문의,22,재문의,True
2025-02,2팀,AG15,2025-02-05,C086,전화,요금문의,27,완료,False
2025-02,2팀,AG12,2025-02-03,C216,채팅,해지문의,34,미해결,False
2025-02,2팀,AG03,2025-02-26,C290,전화,해지문의,21,미해결,False
2025-02,2팀,AG20,2025-02-13,C016,전화,해지문의,7,미해결,False
2025-02,2팀,AG15,2025-02-28,C288,채팅,장애신고,21,완료,False
2025-02,2팀,AG03,2025-02-03,C171,전화,요금문의,26,재문의,False
2025-02,2팀,AG08,2025-02-05,C163,이메일,명의변경,33,재문의,True
2025-02,3팀,AG13,2025-02-27,C269,전화,요금문의,15,재문의,False
2025-02,3팀,AG16,2025-02-07,C001,채팅,요금문의,36,재문의,True
2025-02,3팀,AG16,2025-02-17,C473,전화,해지문의,30,미해결,False
2025-02,3팀,AG10,2025-02-05,C301,채팅,기타,31,재문의,True
2025-02,3팀,AG16,2025-02-13,C297,이메일,해지문의,13,재문의,True
2025-02,3팀,AG10,2025-02-09,C234,전화,요금문의,20,완료,False
2025-02,3팀,AG10,2025-02-10,C379,이메일,요금문의,24,완료,False
2025-02,3팀,AG07,2025-02-09,C379,전화,요금문의,10,미해결,False
